date,time,station,price
"2026-03-02","14:40","Stockholm Segeltorp","789 kr"
"2026-03-02","14:40","Stockholm Bromma","719 kr"
"2026-03-02","14:40","Stockholm Nacka Orminge","609 kr"
"2026-03-02","14:50","Stockholm Segeltorp","789 kr"
"2026-03-02","15:00","Stockholm Högdalen","619 kr"
"2026-03-02","15:00","Stockholm Segeltorp","789 kr"
"2026-03-02","15:00","Stockholm Nacka Orminge","619 kr"
"2026-03-02","15:20","Stockholm Högdalen","619 kr"
"2026-03-02","15:20","Stockholm Segeltorp","789 kr"
"2026-03-02","15:20","Stockholm Nacka Orminge","619 kr"
"2026-03-02","15:40","Stockholm Högdalen","619 kr"
"2026-03-02","15:40","Stockholm Segeltorp","789 kr"
"2026-03-02","15:40","Stockholm Nacka Orminge","619 kr"
"2026-03-02","16:00","Stockholm Nacka Orminge","699 kr"
